Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
24-26 years,Female,Single,CSE,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,With family,11-14 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
24-26 years,Male,Single,Management ,Public,Secondary School,Primary School,Private Job,Housewife,"<25,000Tk",1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,2-5 Hour,Yes,Yes,60%-79% classes,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,2.75 - 2.99
21-23 years,Female,Single,Economics,Public,College,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,No,No,Others,No,Never,3.25 - 3.49
24-26 years,Male,In a love relationship,Agriculture,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Always,Yes,Yes,Business,Yes,Always,3.75 - 4.00
24-26 years,Female,Single,Biochemistry and molecular biology ,Public,M.Sc/M.A.,Secondary School,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,No,60%-79% classes,Alone,Close date to exam,Sometimes,Yes,Yes,Others,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,Political Science ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 3.00 - 3.99,No,No,University Hall,2-5 Hour,Yes,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,Yes,Yes,Business,Yes,Always,2.75 - 2.99
24-26 years,Male,In a love relationship,BBA,Private,College,College,Govt. Service,Housewife,">60,000",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,11-14 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Others,Yes,Sometimes,3.50 - 3.74
21-23 years,Female,Single,History ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"<25,000Tk",1,Happily Married,Rural,Country Town,GPA 5.00,GPA 3.00 - 3.99,No,No,Rental,2-5 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Never,3.25 - 3.49
21-23 years,Female,Married,Home economics ,Others,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,Yes,Yes,With family,Less than 1 Hour,Yes,No,Less than 60% classes,Alone,Regular study during the semester,Always,Yes,Yes,Others,No,Sometimes,3.00 - 3.24
24-26 years,Male,In a love relationship,Development studies,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,41000-55000TK,2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,Yes,Less than 60% classes,Not applicable,Close date to exam,Sometimes,Yes,No,Not Applicable,Yes,Never,3.00 - 3.24
24-26 years,Male,Single,Economics,Others,Secondary School,Secondary School,Business,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,Yes,No,With family,6-10Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,Yes,Business,Yes,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,Mechanical Engineering ,Public,Secondary School,Primary School,Self-employed,Housewife,"<25,000Tk",2,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Not applicable,Close date to exam,Never,No,Yes,Tution,No,Sometimes,3.75 - 4.00
24-26 years,Male,In a love relationship,Civil Engineering ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Always,3.75 - 4.00
24-26 years,Male,Single,BA in English,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Always,3.00 - 3.24
21-23 years,Male,Single,BSTE,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"<25,000Tk",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,Yes,Yes,University Hall,Less than 1 Hour,Yes,Yes,60%-79% classes,Group study,Regular study during the semester,Sometimes,Yes,Yes,Others,Yes,Sometimes,3.00 - 3.24
21-23 years,Male,Single,BBA,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,With family,2-5 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Not Applicable,No,Always,3.75 - 4.00
24-26 years,Male,Single,Internet of Things and Robotics Engineering ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,">60,000",3 or above,Died-one of them or both,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Social work ,Public,College,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,60%-79% classes,Alone,Regular study during the semester,Sometimes,No,Yes,Not Applicable,Yes,Always,3.50 - 3.74
24-26 years,Male,In a love relationship,Chemistry,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"<25,000Tk",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,More than 15 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,No,Yes,Tution,Yes,Always,3.00 - 3.24
21-23 years,Male,Single,Mathematics ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,Mechanical Engineering ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Business,Housewife,41000-55000TK,2,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,Yes,Yes,Tution,No,Always,3.25 - 3.49
21-23 years,Male,Single,IRR,Public,B.A./B.Sc./Hons/Degree,Secondary School,Retired,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Always,3.00 - 3.24
24-26 years,Male,In a love relationship,Department of Computer Science & Engineering,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,Yes,Sometimes,3.25 - 3.49
21-23 years,Male,Married,Civil,Private,Secondary School,Secondary School,Self-employed,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,University Hall,More than 15 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Others,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,TMDM,Public,College,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,More than 15 Hour,No,No,Less than 60% classes,Alone,Never,Never,Yes,Yes,Tution,Yes,Sometimes,3.75 - 4.00
21-23 years,Male,Single,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Educational Technology,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Retired,Private Job,"26,000-40,000TK",1,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,Yes,More than 80%class,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,আই.আর.ই,Public,Secondary School,Secondary School,Self-employed,Housewife,"<25,000Tk",2,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Always,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Ed Tech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,Yes,Yes,60%-79% classes,Group study,Close date to exam,Sometimes,Yes,Yes,Others,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,IRE,Public,College,College,Govt. Service,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,6-10Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,IRE,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Private Job,"56000-60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,Educational Technology ,Public,Secondary School,Secondary School,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,Yes,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Always,3.25 - 3.49
21-23 years,Male,Single,IoT and Robotics Engineering ,Public,Primary School,Secondary School,Private Job,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
24-26 years,Male,In a love relationship,Educational Technology ,Public,M.Sc/M.A.,College,Retired,Housewife,">60,000",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,Yes,Never,2.75 - 2.99
24-26 years,Male,Single,Educational Technology ,Public,M.Sc/M.A.,Secondary School,Govt. Service,Housewife,41000-55000TK,2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,No,Others,No,Always,3.50 - 3.74
18-20 years,Male,Single,IRE,Public,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,11-14 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Not Applicable,No,Always,2.75 - 2.99
21-23 years,Male,Single,IRE,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,IRE,Public,College,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,2.75 - 2.99
21-23 years,Male,Single,Textile Engineering ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Business,Housewife,"56000-60,000",1,Happily Married,Country Town,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Never,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Educational Technology ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Retired,Housewife,"<25,000Tk",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,With family,11-14 Hour,No,No,More than 80%class,Group study,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Always,3.25 - 3.49
24-26 years,Male,Single,Textile engineering,Public,Primary School,Primary School,Business,Housewife,"56000-60,000",3 or above,Died-one of them or both,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,University Hall,2-5 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Never,No,No,Business,No,Sometimes,3.50 - 3.74
21-23 years,Female,Married,Educational Technology ,Public,College,College,Business,Housewife,"<25,000Tk",2,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,">60,000",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Alone,Never,Never,No,No,Tution,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,EdTech,Public,College,Primary School,Govt. Service,Housewife,">60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,No,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,Internet of Things and Robotics Engineering ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Retired,Private Job,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,IRE,Public,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Business,Govt. Service,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Male,In a love relationship,Textile Engineering ,Public,M.Sc/M.A.,M.Sc/M.A.,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Not applicable,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,EDU -TECH,Public,M.Sc/M.A.,M.Sc/M.A.,Retired,Govt. Service,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,No,No,60%-79% classes,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Educational Technology ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,Ed-Tech,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,">60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Govt. Service,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
24-26 years,Male,In a love relationship,IRE,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,With family,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,No,Yes,Tution,No,Sometimes,3.25 - 3.49
24-26 years,Female,Single,Dept. of Internet of Things and Robotics Engineering,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Male,In a love relationship,IRE,Public,Secondary School,Secondary School,Retired,Housewife,41000-55000TK,2,Died-one of them or both,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,IRE,Public,Secondary School,Secondary School,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,EdTech ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,">60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Educational technology ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,With family,More than 15 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Others,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,IRE,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"56000-60,000",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,In a love relationship,BBA,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,"<25,000Tk",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,Yes,60%-79% classes,Not applicable,Regular study during the semester,Sometimes,No,Yes,Not Applicable,Yes,Always,3.25 - 3.49
21-23 years,Female,Single,Educational Technology ,Public,Primary School,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Female,Single,IRE,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,No,Tution,No,Never,3.25 - 3.49
